Sye Addr: 11 PERIEST,,,,,
WEST SERINGFIELD MA 01089,,,,,
Serv Ref: 380153009,,,Bill Cycle: 09,,
Service from 03/13/23 - 04/12/23,,,30 Days,,
"Next read date on or about: May 11, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
892904542,08287,75289,10998,Actual,
Total Demand Use $=32.40 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
Apr,May,Jun,Jul,Aug,Sep,Oct
11506,13106,16321,15578,17417,15327,13148
Nov,Dec,Jan,Feb,Mar,Apr,
11476,12057,11183,10420,10949,10998,
