Svc Adir: 255 E MAIN ST,,,,,
STR 1,,,,,
MERIDEN CT 06450,,,,,
Serv Ref: 548462001,,,Bill Cycle: 16,,
Service from 04/24/23 - 05/22/23,,,28 Days,,
"Next read date on or about: Jun 22, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
036599622,92178,80349,11829,Actual,
Total Demand Use $=30.80 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
May,Jun,Jul,Aug,Sep,Oct,Nov
11980,12606,14330,14096,16381,10094,11515
Dec,Jan,Feb,Mar,Apr,May,
11785,11917,10938,10772,13328,11829,
